Product name,Product price,Prod Review,Product Rate,Product stock,Product condition,Product Picture,Product Specs,sold,Store Name,Store Location,Process Time,Store Feedback Score,Product Link
CUCI GUDANG LAPTOP LENOVO X 200 4 GB HDD 160 GB MULUS GAN,Rp1.650.000,dari 7 ulasan,4.9,Tersedia > 10 stok barang,BEKAS,https://s4.bukalapak.com/img/44548626292/large/data.jpeg,"['Kategori : Laptop Ultrabook', 'Berat : 3,5 kilogram', 'Asal Barang : Impor', 'Brand : Lenovo', 'Kapasitas Hardisk : 160GB', 'Kapasitas Memory : 4Gb', 'Screen Size : <12 inches']",10 Terjual,Max notebook,Jakarta Barat,± 11 jam,95%,https://www.bukalapak.com/p/komputer/laptop/laptop-ultrabook/4g21y5p-jual-cuci-gudang-laptop-lenovo-x-200-4-gb-hdd-160-gb-mulus-gan?from=list-product&pos=0
LAPTOP DELL E6400 CORE 2 DUO FREE TAS DAN MOUSE,Rp1.350.000,dari 2 ulasan,5,"Tipe Laptop
Pilih Tipe Laptop",BARU,https://s4.bukalapak.com/img/94456263292/small/data.png,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : <250GB', 'Kapasitas Memory : 2Gb', 'Screen Size : 14-15']",3 Terjual,Theresia Mart,Jakarta Utara,± 20 jam,100%,https://www.bukalapak.com/p/komputer/laptop/4el0ahy-jual-laptop-dell-e6400-core-2-duo-free-tas-dan-mouse?from=list-product&pos=1
LAPTOP RAM 8GB CORE i5 DENGAN SSD MERK DELL VGA INTEL NVIDIA BONUS TAS,Rp4.000.000,dari 20 ulasan,4.8,Stok terbatas! Tersisa 4 lagi!,BEKAS,https://s4.bukalapak.com/img/97402241392/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : <250GB', 'Kapasitas Memory : >=8Gb', 'Screen Size : 13-14']",49 Terjual,Mr Data Enterprise,Jakarta Barat,± 18 jam,99%,https://www.bukalapak.com/p/komputer/laptop/18a6spn-jual-laptop-ram-8gb-core-i5-dengan-ssd-merk-dell-vga-intel-nvidia-bonus-tas?from=list-product&pos=2
LAPTOP DELL E5500 CORE 2 DUO FREE TAS DAN MOUSE,Rp1.350.000,dari 4 ulasan,5,"Tipe Laptop
Pilih Tipe Laptop",BARU,https://s3.bukalapak.com/img/81655263292/small/data.png,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : 256GB', 'Kapasitas Memory : 2Gb', 'Screen Size : 14-15']",7 Terjual,Theresia Mart,Jakarta Utara,± 20 jam,100%,https://www.bukalapak.com/p/komputer/laptop/4elbixg-jual-laptop-dell-e5500-core-2-duo-free-tas-dan-mouse?from=list-product&pos=3
Laptop Lenovo ThinkPad T410 intel core i7,Rp2.999.000,dari 9 ulasan,5,Stok terbatas! Tersisa 1 lagi!,BEKAS,https://s2.bukalapak.com/img/72809009462/large/data.,"['Kategori : Laptop', 'Berat : 5 kilogram', 'Asal Barang : Lokal', 'Brand : Lenovo', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 14-15']",9 Terjual,Gangsal,Depok,± 10 jam,100%,https://www.bukalapak.com/p/komputer/laptop/41mndmb-jual-laptop-lenovo-thinkpad-t410-intel-core-i7?from=list-product&pos=4
Laptop 2 in 1 Dell Latitude 5285 Core i5-7300U Ram 8gb Ssd 256gb Murah dan Mulus,Rp4.850.000,dari 1 ulasan,5,Stok terbatas! Tersisa 4 lagi!,BEKAS,https://s0.bukalapak.com/img/50210373292/large/data.,"['Kategori : Laptop 2in1', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : 256GB', 'Kapasitas Memory : >=8Gb', 'Screen Size : 12-13']",1 Terjual,Computer murah. Com,Jakarta Pusat,± 12 jam,92%,https://www.bukalapak.com/p/komputer/laptop/laptop-2in1/4fz0491-jual-laptop-2-in-1-dell-latitude-5285-core-i5-7300u-ram-8gb-ssd-256gb-murah-dan-mulus?from=list-product&pos=5
Laptop Acer R7 Core i5 6200u FullHD Touch IPS Backlight Mulus,Rp5.900.000,dari 2 ulasan,5,Stok terbatas! Tersisa 1 lagi!,BEKAS,https://s3.bukalapak.com/img/86803729192/large/data.jpeg,"['Kategori : Laptop', 'Berat : 3 kilogram', 'Asal Barang : Lokal', 'Brand : Acer', 'Kapasitas Hardisk : 256GB', 'Kapasitas Memory : >=8Gb', 'Screen Size : 13-14']",2 Terjual,ThinkpadPD,Jakarta Timur,± 14 jam,82%,https://www.bukalapak.com/p/komputer/laptop/1l6n4ju-jual-laptop-acer-r7-core-i5-6200u-fullhd-touch-ips-backlight-mulus?from=list-product&pos=6
Laptop Panasonic cf-mx4 core i5 gen 5300 2.30ghz ram4gb ssd128gb,Rp3.950.000,dari 1 ulasan,5,Stok terbatas! Tersisa 2 lagi!,BEKAS,https://s1.bukalapak.com/img/18568657882/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal']",1 Terjual,ST Shop,Batam,± 1-2 hari,90%,https://www.bukalapak.com/p/komputer/laptop/4em863g-jual-laptop-panasonic-cf-mx4-core-i5-gen-5300-2-30ghz-ram4gb-ssd128gb?from=list-product&pos=7
Laptop 2 in 1 Dell Venue 11 5175 Core M5-6Y57 Ram 8gb SSD Slim Mulus,Rp4.400.000,dari 1 ulasan,5,Stok terbatas! Tersisa 1 lagi!,BEKAS,https://s3.bukalapak.com/img/81016611292/large/data.jpeg,"['Kategori : Laptop 2in1', 'Berat : 3 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : 256GB', 'Kapasitas Memory : >=8Gb', 'Screen Size : <12 inches']",1 Terjual,ThinkpadPD,Jakarta Timur,± 14 jam,83%,https://www.bukalapak.com/p/komputer/laptop/laptop-2in1/4fvodkm-jual-laptop-2-in-1-dell-venue-11-5175-core-m5-6y57-ram-8gb-ssd-slim-mulus?from=list-product&pos=8
Laptop Lenovo Ideapad 320 Core i3,Rp5.750.000,dari 11 ulasan,4.9,Stok terbatas! Tersisa 1 lagi!,BARU,https://s1.bukalapak.com/img/63746027961/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Lenovo', 'Kapasitas Hardisk : >1TB', 'Kapasitas Memory : 4Gb', 'Screen Size : 14-15']",15 Terjual,Elec 91,Jakarta Barat,± 1-2 hari,100%,https://www.bukalapak.com/p/komputer/laptop/2nqvxhs-jual-laptop-lenovo-ideapad-320-core-i3?from=list-product&pos=9
